,feature_name,nlog_p_0,nlog_p_1,nlog_p_2,nlog_p_3,nlog_p_4,nlog_p_5
0,MFI:469,105.99212933953996,11.232724280950384,0.8309022341194103,1.380330195812783,0.3582590497528664,0.03812122992860677
1,P1:129,0.8274838075430768,1.0725408378901597,6.304754418230144,1.1181212434048753,0.1445951683359703,0.34166445488193126
2,P1:16488,2.6677679316500593,0.1089948602455386,6.323000433778034,5.323911153699322,0.30683410316507337,0.09531906972866408
3,P1:16491,3.074533254648311,0.07607294496965869,6.242423573376036,5.301156003918648,0.27256792990187473,0.17204274308042755
4,P1:17208,2.7696036711065926,0.13462674199698688,6.372570291766418,5.457182004997625,0.0234129838867244,0.3553959263914379
5,P1:17211,2.7525552055838873,0.13590391810410937,6.249606185788493,5.373968172866064,0.04548011953572345,0.34791084593099064
6,P1:17217,2.564880460197948,0.1077896501290655,6.586888234418929,5.528503256472381,0.3500243805089879,0.10056459786370513
7,P1:17220,2.6864374118416343,0.0964972861836401,6.536926851713519,5.476388134927007,0.3187516733586349,0.134952992403355
8,P1:18602,2.845309230885542,0.17572062136751068,6.337637298751072,5.539166943974991,0.10269411721650616,0.3171390268565693
9,P1:18611,2.7236468300610936,0.06921844688408352,6.979974788731146,5.913579936502921,0.20921938725460248,0.13877342979501775
10,P1:18614,3.001215529223171,0.04503225681637405,7.00952189215773,5.983428413223927,0.2242008597530306,0.1951003562658333
11,P1:18620,2.024023298287848,0.0641405292431689,6.308066602496331,5.123369624277288,0.8585797466276087,0.0670022563807386
12,P1:18623,2.557669405811165,0.08511586758295936,6.550279406315993,5.378204631437678,0.81321454971835,0.015222176766265909
13,P1:19324,2.69857001833194,0.1645542046035333,6.5829374884337435,5.720425943804033,0.027575975403998434,0.32451003508939863
14,P1:19328,2.628357229349916,0.0713226807817043,7.26759286332865,6.131066146867619,0.24688962981272775,0.14882072702691068
15,P1:19331,2.640404557337727,0.066397063706303,7.309749464959247,6.150399001535216,0.2519804300949883,0.16889005516605257
16,P1:19338,2.0757534025885067,0.054309613110716345,6.787161846330343,5.474454905349181,0.7896475642373634,0.013391241022903
17,P1:20205,0.26666761965256436,0.12553992642990455,15.289955022230108,11.437899883143027,0.13816352576324126,0.2006262764365186
18,P1:20206,0.22215809676379655,0.10291650653400704,14.64108902396972,9.137954261895135,0.08032076881663987,0.1972391533524947
19,P1:20208,0.47903223961082936,0.12356699066720024,14.759944972233972,11.076727540578984,0.24521778171605113,0.11049798483277623
20,P1:20209,1.977314754955574,0.3163481500321603,7.6386671968581625,4.217942796489252,0.03561538336388113,0.21249818423451833
21,P1:20214,0.9137400010980085,0.016460602643304862,11.291122903787794,8.70806017624652,0.40872412613166503,0.00818280811843822
22,P1:20215,0.9993040118181253,0.10115199515289833,8.444073031051772,5.442443767518723,0.09245834961166051,0.12239718916486554
23,P1:20217,1.147014979288107,0.02269437227848192,10.590610463812732,8.271704056639562,0.46879544561014463,0.021467199374133085
24,P1:20440,0.001754872710543537,0.06742868947261015,16.656724789810635,10.16954362257914,0.03357051001151355,0.09479184661470265
25,P1:20441,0.24003048495436163,0.13508251476453842,16.680732271204754,12.21730857057012,0.13201011106686764,0.012104562536814072
26,P1:20442,0.6909638781237798,0.18816827855251855,11.967298113193568,7.495182499789211,0.18828865442614226,0.3020443385341833
27,P1:20445,0.10131139797760913,0.1405257554782771,15.093242005187985,11.134281794565627,0.05244477280279875,0.14207603757605664
28,P1:20446,0.022799401035856915,0.17012064450368525,14.663404100178116,9.029521227209301,0.13476368537323064,0.11187263493315744
29,P1:20448,0.22242264026950112,0.11472872903322348,14.497212837692217,10.736924328526635,0.006159002427666098,0.1741144752845857
30,P1:20449,0.874925916916004,0.0809296829646987,11.730296829375385,7.517678432758326,0.23868247841004067,0.7164208717470975
31,P1:20706,3.2745282710089256,0.029291921020883988,7.138569533460946,5.754548127947203,0.661275427897775,0.2429974818427574
32,P1:20787,3.19028942109226,0.015496261603525687,7.230875451647051,5.790346181279676,0.6038990932913556,0.2226633475905849
33,P1:21145,0.013752035974331873,0.009685868193677604,15.477641665372435,11.817490194695106,0.18417303960494907,0.4311940861606972
34,P1:21146,0.08647398173190779,0.03519395706589842,15.065626984125535,9.700091015862467,0.27960508560809205,0.4572016653332441
35,P1:21148,0.11794321072427677,0.0011141747077855993,14.866552778797892,11.392177228610029,0.0681026911443778,0.3556249282925243
36,P1:21149,0.5175192577348042,0.04820270274677093,11.334686163487037,7.500972474717048,0.4005206140828509,0.01884751704259635
37,P1:21154,0.07915677101125836,0.3771044428972447,13.314639198837611,10.300392821481225,0.22016204629356342,0.04017395497896637
38,P1:21155,0.010757074166763138,0.4081142497755984,13.030055500265126,8.501238324703944,0.31197729014543224,0.06069848550602042
39,P1:21157,0.17057578514103044,0.3733199730086275,12.146676555809481,9.481681145143357,0.1520722029705149,0.03674332441299607
40,P1:21158,0.7294633030302776,0.4025716398003508,10.247013217729286,5.716927763259138,0.31006044373685604,0.3361885858102716
41,P1:21419,3.2055321373894077,0.004999355280492612,7.229659376997376,5.780541656253622,0.6513934635352837,0.23848346831379194
42,P1:21727,3.7925271021610665,0.13864201986909844,6.2271179013320195,5.156240467470271,0.753210792017369,0.18498184015118466
43,P1:25021,3.309942932018426,1.664730157231953,6.439271087138655,1.3509694473775655,0.3585588335610876,0.4471042015455902
44,P1:25653,0.8994647223793668,1.0636034793392906,6.212366518264206,1.079816262067254,0.13003684837673382,0.3235596401026005
45,P1:337,0.08268959014129343,0.10201683569680646,17.253470691126108,12.627464396137936,0.04579997147343059,0.0700312636989569
46,P1:371,2.722127530084214,0.17205733950713945,6.704885447246752,5.810196221594432,0.05125319180936429,0.32940621541675724
47,P1:432,2.0138606786628395,0.05365966300943174,6.513068263399035,5.297876056353352,0.8488818643799874,0.056243170297719546
48,P1:53,3.1389799896962285,0.009302016668918323,7.318790059459702,5.813763220466753,0.5989541946814765,0.21574855904707887
49,P2:194,3.8704153150766802,0.2380236104458391,6.935866768720892,5.268721502057277,0.00010699911974320737,0.31273071384721657
50,P2:21109,0.7642275864341691,0.1796825571102903,6.592451956450291,2.3250660979588225,0.2507336850873306,0.3971975890993015
51,P2:21110,0.7716627105445336,0.08641388216304811,6.4848684878741025,2.319413858283887,0.19448561831775193,0.31510365995095696
52,P2:21112,1.7052881943226506,0.10774927458930572,7.599547463348794,3.464497231617272,0.023604133060093783,0.04908708879566122
53,P2:21113,2.444678889570276,0.034493904903813204,6.513568503232333,3.1212589706229403,0.21011549327707518,0.019166412002018907
54,P2:21136,0.8694541936379041,0.17024453255742517,7.0456785099779795,2.363861268971445,0.16577498757685352,0.3792625061122634
55,P2:21191,3.603404589209093,0.431264532179467,7.9590502810067365,4.137809447312929,0.9527788875544565,0.5790100656152114
56,P2:7344,4.076378804807573,0.2266031161313466,6.9684484484584335,5.290603390784626,0.007602292099454348,0.3352031570657028
57,P2:7559,3.616869650971633,0.37338873306324816,6.790909462306585,5.197580948434845,0.047448994942109114,0.20284077156352587
58,P2:7560,3.8735921157390423,0.3546298600048618,6.792114997869982,5.191632434299754,0.05496166270926186,0.22089269137272838
59,P2:8013,4.898317874787665,0.20943747838894383,6.38259076486711,4.8795035694958235,0.01685847129127214,0.42382276157193244
60,P2:8014,5.138552165295342,0.1963592523096021,6.395677740456366,4.887463487273703,0.02291258560799306,0.45164638836550614
61,P2:812,0.23136811756626535,0.35999204041077776,7.528975568672169,5.823740143668403,0.654593798971742,0.8880946974097726
62,P3:2114,0.7629294192210999,0.2645749972541182,6.2345657345999035,3.348126800179824,0.16586657440109334,0.9457627014706632
63,P3:272,0.5961473493395351,0.23156488015493928,6.274286131202368,3.5268068551899807,0.2171497460072473,0.9198307536967297
64,P3:395,0.8683633332325769,0.8829514346563189,6.515940213526904,5.6604435866640115,0.15971689887367405,0.022958479576470302
65,P4:117,19.604293001464285,1.1058977776203416,9.089824723581396,7.982609754207559,0.2832867199509487,4.3463002522327745
66,P4:1186,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
67,P4:1187,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
68,P4:1195,0.5444079090919591,0.6690002057308196,9.137251080116565,6.766501602254386,0.531003645913066,0.7057101041993219
69,P4:1196,0.5444079090919591,0.6690002057308196,9.137251080116565,6.766501602254386,0.531003645913066,0.7057101041993219
70,P4:1267,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
71,P4:1268,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
72,P4:1270,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
73,P4:1271,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
74,P4:1276,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
75,P4:1277,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
76,P4:141,2.6026736498562397,0.04791721130691709,10.34835140625965,7.665145762144991,0.07333888116738821,0.6965870455599531
77,P4:1429,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
78,P4:1430,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
79,P4:1476,17.53669293534359,6.258904837374373,0.2092080100034909,0.1371272187792166,0.2564695450951194,1.1723322158101959
80,P4:1510,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
81,P4:1511,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
82,P4:1514,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
83,P4:1519,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
84,P4:1520,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
85,P4:204,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0
86,P4:4423,0.38961751283159757,0.29430482442233513,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997
87,P4:4426,0.38961751283159757,0.29430482442233513,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997
88,P4:4432,0.38961751283159757,0.29430482442233513,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997
89,P4:4435,0.38961751283159757,0.29430482442233513,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997
90,P4:4549,0.7935736134482687,0.11748873021769932,13.156439625033094,10.106867764575988,0.061592499979051335,0.07777221971323535
91,P4:4551,5.231163681214004,0.13627247763499187,12.915865791984858,10.250573844679064,0.1997525898609632,1.0085534846562625
92,P4:4552,4.125013721569654,0.032507967374566606,12.699316204661724,9.850725835359613,0.07558418389165956,0.6420561746020997
93,P4:4553,7.650466571962066,0.2890045940815463,9.802119945427531,7.940406288634851,0.2533495979843822,1.8392777868098946
94,P4:4555,1.4641697713880695,0.013489638076441423,13.528963823333555,10.382722169103223,0.04792774314098892,0.1688058524340343
95,P4:4556,1.3649943633581443,0.07706191591180774,13.9119342505638,10.59360333974134,0.01613699987869539,0.09659717974849868
96,P4:4558,14.913744720276966,0.677789546748055,13.764024686379559,11.505294836816965,0.021944386371303394,3.0802608812410117
97,P4:4559,11.79411652625555,0.3323694417321705,15.631742972144119,12.603981032513836,0.06308739009246933,2.219117369368236
98,P4:4561,18.194125047912117,0.8854999470713905,10.124887957046226,8.778795329799983,0.04583136886132287,4.028887370359841
99,P4:4562,15.812602552860392,0.5350111703274069,12.415589577691028,10.273802996533172,0.09338842705544627,3.2942414720866093
100,P4:4563,2.62080683692978,0.34941754588706786,8.0591354016663,6.164364767432652,0.006071467727798881,0.9899930335388396
101,P4:4565,20.995570359713284,1.2504053139656885,8.50886141877358,7.623852483985021,0.28521931310347437,4.708158496935776
102,P4:4566,19.43137163268342,1.0093520954053863,12.01869421481287,10.194741859187088,0.2810890352798956,4.307688542666343
103,P4:4567,20.82220994594734,1.2020999810545652,6.431718911042989,5.979240421496834,0.30811878225235356,4.533034156358962
104,P4:4623,0.7935736134482687,0.11748873021769932,13.156439625033094,10.106867764575988,0.061592499979051335,0.07777221971323535
105,P4:4624,0.8064232454355457,0.12682486646722052,13.146566349897105,10.101616535928036,0.05126810625404314,0.07122751192968102
106,P4:4626,5.4535565185286305,0.19320389006458275,12.958699990638385,10.19491220323265,0.1763948820683828,1.0533238109427252
107,P4:4627,4.336262422812213,0.002720694575899296,12.579875517248402,9.817487275614669,0.05421527820459731,0.6890464784296677
108,P4:4629,7.994083636674453,0.38669441100084934,9.825421889143687,7.845350190049353,0.21772294965626215,1.916359096908886
109,P4:4630,6.5834128131183505,0.07747927595059209,9.701296909693884,7.653583696560136,0.049004248601516656,1.3310341025963526
110,P4:4632,1.4641697713880695,0.013489638076441423,13.528963823333555,10.382722169103223,0.04792774314098892,0.1688058524340343
111,P4:4633,1.3649943633581443,0.07706191591180774,13.9119342505638,10.59360333974134,0.01613699987869539,0.09659717974849868
112,P4:4635,14.99135530413588,0.8002663817647439,13.669814246361163,10.94067644057456,0.03688441835811574,3.038261269441739
113,P4:4636,11.845506338691145,0.424394838724586,15.366257018804994,11.9117456401951,0.07356408568811974,2.2199588247947695
114,P4:4638,18.20080417103359,1.04836532662836,10.024611702493283,8.166678279117905,0.06459405926450074,3.9474811920086488
115,P4:4639,15.74116532332824,0.673100627754658,12.076189908316637,9.425303806468442,0.10706450410166406,3.261351536030448
116,P4:4641,2.62080683692978,0.34941754588706786,8.0591354016663,6.164364767432652,0.006071467727798881,0.9899930335388396
117,P4:4642,2.6026736498562397,0.04791721130691709,10.34835140625965,7.665145762144991,0.07333888116738821,0.6965870455599531
118,P4:4644,20.738309267652195,1.4019894221841152,8.436216270075908,6.907880210578826,0.2929127796470832,4.511618638092598
119,P4:4645,18.854177596896193,1.1650890794465203,11.75086981708948,8.988466095524585,0.26594712012354904,4.11061594806977
120,P4:4647,20.525195308107715,1.358856556126525,6.37940596340037,5.315713038326993,0.31585663948444165,4.325161603948903
121,P4:4648,18.926462478749745,1.2765911667783856,8.87157116462756,6.844945821362983,0.26634861861548687,4.121076059924427
122,P4:4769,0.8498696173539645,0.07473041965504433,12.784466066016885,9.907277825676353,0.06701324562522823,0.0724674708947643
123,P4:4770,0.8626756423779299,0.08315775981546869,12.773964804369571,9.901287817264075,0.056876961247013004,0.06616659238997086
124,P4:4772,5.894319003971661,0.04495526661927112,12.603488082772785,10.024163183526591,0.33631028091211107,1.004886514266172
125,P4:4773,4.82223808911068,0.12115270766011296,12.52026733394995,9.73058532699008,0.1983263435903943,0.6908261408764188
126,P4:4775,8.336094650015342,0.10599053303242405,9.418496917296505,7.609851739372415,0.4465909583679743,1.7480251232865291
127,P4:4776,7.097045403318851,0.12590273835634724,9.633906007104756,7.499006645082859,0.26079306020836884,1.276775331389615
128,P4:4778,1.600100169715789,0.06846043449421324,13.547071286397914,10.484477844518118,0.03847682625429366,0.2055149589365978
129,P4:4779,1.5008540730654687,0.019529406130440775,13.90970470555374,10.68182343013643,0.006902976387952077,0.13190389936822133
130,P4:4781,17.477560548960053,0.3300902758651501,13.009042528204194,10.41639750981306,0.11505657488526934,3.1960231009068214
131,P4:4782,14.602949534976897,0.05156766189020816,14.762671604172308,11.375716241480484,0.09696082291061679,2.4470605168426394
